ID_Paciente,UUID,Nombre,Apellido_Paterno,Apellido_Materno,Fecha_Nacimiento,Edad,Sexo,CURP,RFC,Estado,Región_Socioeconómica,Municipio,Afiliación_Salud,Tipo_Sangre,Estatura_cm,Peso_kg,IMC,Presion_Sistolica_mmHg,Presion_Diastolica_mmHg,Frecuencia_Cardiaca_lpm,Temperatura_C,CIE10_Diagnostico,Diagnostico_Principal,Especialidad_Destino,Fecha_Ultima_Consulta,Costo_Consulta_MXN
PUE-000001,C2E3BC5F,Alejandro,Díaz,Gómez,1999-04-14,27,Masculino,DAGA990414HPLÍÓLA5,DAGA990414W92,Puebla,Región VI: Izúcar de Matamoros,Izúcar de Matamoros,IMSS,O+,179.7,70.9,22.0,114,71,96,38.2,J00,Rinofaringitis Aguda (Resfriado Común),Medicina General / Pediatría,2026-01-31,40
PUE-000002,03E18A6C,Patricia,Rodríguez,Jiménez,1957-01-10,69,Femenino,ROJP570110MPLDMTA8,ROJP570110C39,Puebla,Región IV: San Pedro Cholula,San Pedro Cholula,IMSS-Bienestar,O+,146.0,61.9,29.0,160,98,81,36.8,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2026-03-22,3
PUE-000003,A0AADBAF,Javier Miguel,Flores,Jiménez,2002-06-29,23,Masculino,FOJJ020629HPLLMVA6,FOJJ020629A34,Puebla,Región III: Ciudad Serdán,Chalchicomula de Sesma,ISSSTEP,O+,176.3,77.2,24.8,114,82,66,36.6,E66.0,Obesidad Grado I,Nutrición / Medicina General,2026-03-20,30
PUE-000004,AC38015B,Sofia Patricia,Cruz,Gutiérrez,2000-01-11,26,Femenino,CUGS000111MPLRTFA8,CUGS000111B90,Puebla,Región IV: San Pedro Cholula,Cuautlancingo,No derechohabiente,O+,152.2,48.7,21.0,110,81,73,36.8,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2025-12-17,470
PUE-000005,34CE9365,Ana Leticia,López,Ramírez,1962-02-15,64,Femenino,LERA620215MPLÓMNA7,LERA620215L91,Puebla,Región VI: Izúcar de Matamoros,Chiautla,ISSSTE,B+,159.5,48.7,19.1,137,86,85,36.7,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2025-11-01,22
PUE-000006,069A32E4,Jorge,García,Hernández,1988-03-13,38,Masculino,GAHJ880313HPLRRRA0,GAHJ880313D94,Puebla,Región V: Puebla,Ocoyucan,IMSS,A+,172.9,71.7,24.0,137,96,76,36.3,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2025-07-30,35
PUE-000007,AFE804FE,Guadalupe Verónica,Flores,Gutiérrez,1973-04-16,53,Femenino,FOGG730416MPLLTDA2,FOGG730416129,Puebla,Región VI: Izúcar de Matamoros,Atlixco,IMSS,O+,150.8,49.9,21.9,122,80,70,36.7,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2025-10-08,18
PUE-000008,975B3AD1,Gabriela,Díaz,Flores,1962-03-30,64,Femenino,DAFG620330MPLÍLBA4,DAFG620330432,Puebla,Región III: Ciudad Serdán,San Salvador el Seco,IMSS,O+,152.7,69.2,29.7,125,81,65,36.4,F41.1,Ansiedad Generalizada,Psicología / Psiquiatría,2026-04-02,29
PUE-000009,77F696CC,Carlos Alejandro,Ramírez,Gutiérrez,2003-10-15,22,Masculino,RAGC031015HPLMTRA8,RAGC031015M16,Puebla,Región V: Puebla,Puebla,ISSSTE,O+,176.2,52.6,16.9,116,84,84,36.3,M54.5,Lumbalgia Crónica,Traumatología / Terapia Física,2025-10-02,33
PUE-000010,47B8D1E7,Manuel,Pérez,Morales,1982-06-21,44,Masculino,PEMM820621HPLÉRNA1,PEMM820621W17,Puebla,Región III: Ciudad Serdán,Aljojuca,IMSS-Bienestar,O+,164.0,74.5,27.7,119,75,71,36.2,M54.5,Lumbalgia Crónica,Traumatología / Terapia Física,2026-03-25,4
