ID_Paciente,CURP,Nombre,Apellido_Paterno,Apellido_Materno,Fecha_Nacimiento,Edad,Sexo,Estatura_m,Peso_kg,IMC,Presion_Sistolica,Presion_Diastolica,Glucosa,Colesterol,Frecuencia_Cardiaca,Diabetes,Hipertension,Fumador,Actividad_Fisica,Antecedente_Familiar,Municipio,Region,Latitud,Longitud
PUE-000001,DAGA990414HPLÍÓLA5,Alejandro,Díaz,Gómez,1999-04-14,27,Masculino,1.797,70.9,22.0,114,71,,,96.0,,,,,,Izúcar de Matamoros,,,
PUE-000002,ROJP570110MPLDMTA8,Patricia,Rodríguez,Jiménez,1957-01-10,69,Femenino,1.46,61.9,29.0,160,98,,,81.0,,,,,,San Pedro Cholula,,,
PUE-000003,FOJJ020629HPLLMVA6,Javier Miguel,Flores,Jiménez,2002-06-29,23,Masculino,1.7630000000000001,77.2,24.8,114,82,,,66.0,,,,,,Chalchicomula de Sesma,,,
PUE-000004,CUGS000111MPLRTFA8,Sofia Patricia,Cruz,Gutiérrez,2000-01-11,26,Femenino,1.5219999999999998,48.7,21.0,110,81,,,73.0,,,,,,Cuautlancingo,,,
PUE-000005,LERA620215MPLÓMNA7,Ana Leticia,López,Ramírez,1962-02-15,64,Femenino,1.595,48.7,19.1,137,86,,,85.0,,,,,,Chiautla,,,
PUE-000006,GAHJ880313HPLRRRA0,Jorge,García,Hernández,1988-03-13,38,Masculino,1.729,71.7,24.0,137,96,,,76.0,,,,,,Ocoyucan,,,
PUE-000007,FOGG730416MPLLTDA2,Guadalupe Verónica,Flores,Gutiérrez,1973-04-16,53,Femenino,1.508,49.9,21.9,122,80,,,70.0,,,,,,Atlixco,,,
PUE-000008,DAFG620330MPLÍLBA4,Gabriela,Díaz,Flores,1962-03-30,64,Femenino,1.527,69.2,29.7,125,81,,,65.0,,,,,,San Salvador el Seco,,,
PUE-000009,RAGC031015HPLMTRA8,Carlos Alejandro,Ramírez,Gutiérrez,2003-10-15,22,Masculino,1.7619999999999998,52.6,16.9,116,84,,,84.0,,,,,,Puebla,,,
PUE-000010,PEMM820621HPLÉRNA1,Manuel,Pérez,Morales,1982-06-21,44,Masculino,1.64,74.5,27.7,119,75,,,71.0,,,,,,Aljojuca,,,
PUE-000011,ROHA861003HPLDRLA0,Alejandro,Rodríguez,Hernández,1986-10-03,39,Masculino,1.665,69.9,25.2,116,75,,,83.0,,,,,,Izúcar de Matamoros,,,
PUE-000012,LERL010911HPLÓMSA9,Luis Luis,López,Ramírez,2001-09-11,24,Masculino,1.798,70.7,21.9,161,86,,,70.0,,,,,,San Martín Texmelucan,,,
PUE-000013,RECJ750408HPLYSSA9,Jesús Fernando,Reyes,Castro,1975-04-08,51,Masculino,1.693,66.3,23.1,117,70,,,98.0,,,,,,Calpan,,,
PUE-000014,LEDJ790817HPLÓÍVA2,Javier,López,Díaz,1979-08-17,46,Masculino,1.703,80.7,27.8,162,98,,,85.0,,,,,,San Martín Texmelucan,,,
PUE-000015,HESR360930MPLRÁSA4,Rosa,Hernández,Sánchez,1936-09-30,89,Femenino,1.4709999999999999,66.0,30.5,119,81,,,88.0,,,,,,Xicotepec,,,
PUE-000016,,Elena Gabriela,Jiménez,Gutiérrez,1973-12-28,,,,,,,,,,,,,,,,,,,
},,,,,,,,,,,,,,,,,,,,,,,,
¿¿¿¿¿¿¿¿¿¿¿¿¿¿,,,,,,,,,,,,,,,,,,,,,,,,
}+,,,,,,,,,,,,,,,,,,,,,,,,
}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}]]]]]]]]]]]]]]]]]]}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}]52,O+,JIGE731228MPLMTLA7,JIGE731228Q36,Puebla,Región V: Puebla,Amozoc,IMSS-Bienestar,0.361,N39.0,Infección de Vías Urinarias,Medicina General,2026-01-28,,,24.0,,,,,,122,,,
PUE-000017,GOML760806MPLNRSA0,Luisa Verónica,González,Morales,1976-08-06,49,Femenino,1.611,76.1,29.3,111,72,,,83.0,,,,,,Juan Galindo,,,
PUE-000018,VUGP491026HPLÁÓDA7,Pedro,Vázquez,Gómez,1949-10-26,76,Masculino,1.681,81.1,28.7,114,84,,,76.0,,,,,,Teziutlán,,,
PUE-000019,MOML711111MPLRRTA9,Leticia Margarita,Morales,Martínez,1971-11-11,54,Femenino,1.5090000000000001,74.4,32.7,120,79,,,91.0,,,,,,Cuautinchán,,,
PUE-000020,CUVC070701MPLRÁRA3,Carmen,Cruz,Vázquez,2007-07-01,18,Femenino,1.6840000000000002,48.1,17.0,159,91,,,66.0,,,,,,Tlachichuca,,,
PUE-000021,FOCR331004MPLLRSA0,Rosa Verónica,Flores,Cruz,1933-10-04,92,Femenino,1.548,91.5,38.2,123,70,,,74.0,,,,,,Calpan,,,
PUE-000022,LEGL340104HPLÓTSA1,Luis Carlos,López,Gutiérrez,1934-01-04,92,Masculino,1.6780000000000002,84.4,30.0,121,82,,,70.0,,,,,,Cuautinchán,,,
PUE-000023,JIPL560602MPLMÉSA9,Luisa,Jiménez,Pérez,1956-06-02,70,Femenino,1.53,69.5,29.7,125,74,,,70.0,,,,,,Tlachichuca,,,
PUE-000024,PEFP851015MPLÉLTA2,Patricia Luisa,Pérez,Flores,1985-10-15,40,Femenino,1.575,61.7,24.9,118,73,,,95.0,,,,,,Cuetzalan del Progreso,,,
PUE-000025,MAJG750126MPLRMBA1,Gabriela Juana,Martínez,Jiménez,1975-01-26,51,Femenino,1.661,64.4,23.3,119,73,,,85.0,,,,,,Calpan,,,
PUE-000026,FOPA881204MPLLÉNA1,Ana,Flores,Pérez,1988-12-04,37,Femenino,1.5830000000000002,56.8,22.7,140,86,,,71.0,,,,,,San Martín Texmelucan,,,
PUE-000027,RAPR660405HPLMÉCA3,Ricardo,Ramírez,Pérez,1966-04-05,60,Masculino,1.7209999999999999,68.9,23.3,125,74,,,73.0,,,,,,Tlachichuca,,,
PUE-000028,REVP001120MPLYÁTA3,Patricia,Reyes,Vázquez,2000-11-20,25,Femenino,1.642,47.7,17.7,110,83,,,74.0,,,,,,Esperanza,,,
PUE-000029,VUCL911118MPLÁSTA1,Leticia Teresa,Vázquez,Castro,1991-11-18,34,Femenino,1.6,63.0,24.6,143,87,,,76.0,,,,,,Chiconcuautla,,,
PUE-000030,RAPR541019MPLMÉSA3,Rosa,Ramírez,Pérez,1954-10-19,71,Femenino,1.6380000000000001,72.7,27.1,120,78,,,98.0,,,,,,Xiutetelco,,,
PUE-000031,GAGJ920805HPLRÓRA7,Jorge Pedro,García,Gómez,1992-08-05,33,Masculino,1.6880000000000002,83.6,29.3,125,83,,,85.0,,,,,,Ajalpan,,,
PUE-000032,SEGV180527MPLÁÓRA5,Verónica Juana,Sánchez,Gómez,2018-05-27,8,Femenino,1.5,12.6,5.6,112,70,,,66.0,,,,,,Ocoyucan,,,
PUE-000033,MACF160630HPLRSRA4,Francisco,Martínez,Castro,2016-06-30,9,Masculino,1.092,5.5,4.6,110,72,,,67.0,,,,,,Puebla,,,
PUE-000034,GUFL960718MPLTLSA4,Luisa María,Gutiérrez,Flores,1996-07-18,29,Femenino,1.463,66.1,30.9,121,75,,,85.0,,,,,,Pahuatlán,,,
PUE-000035,HEPC531104HPLRÉRA3,Carlos,Hernández,Pérez,1953-11-04,72,Masculino,1.66,88.6,32.2,121,85,,,97.0,,,,,,Cuautinchán,,,
PUE-000036,GAHC740812MPLRRRA5,Carmen Juana,García,Hernández,1974-08-12,51,Femenino,1.5830000000000002,64.6,25.8,140,97,,,81.0,,,,,,Tepeojuma,,,
PUE-000037,LEVM650522MPLÓÁRA1,Margarita Gabriela,López,Vázquez,1965-05-22,61,Femenino,1.5619999999999998,74.0,30.3,150,88,,,74.0,,,,,,Zacapoaxtla,,,
PUE-000038,MORJ130930HPLRYSA1,José Fernando,Morales,Reyes,2013-09-30,12,Masculino,1.652,58.4,21.4,116,82,,,84.0,,,,,,Calpan,,,
PUE-000039,HECL110128MPLRSTA3,Leticia Juana,Hernández,Castro,2011-01-28,15,Femenino,1.608,59.2,22.9,115,71,,,80.0,,,,,,Aljojuca,,,
PUE-000040,GURR990915HPLTYFA8,Rafael,Gutiérrez,Reyes,1999-09-15,26,Masculino,1.6780000000000002,80.4,28.6,118,79,,,89.0,,,,,,Coxcatlán,,,
PUE-000041,DAHM140116HPLÍRGA4,Miguel,Díaz,Hernández,2014-01-16,12,Masculino,1.5590000000000002,86.3,35.5,111,70,,,84.0,,,,,,Tecamachalco,,,
PUE-000042,ROJP810401MPLDMTA1,Patricia Teresa,Rodríguez,Jiménez,1981-04-01,45,Femenino,1.46,50.5,23.7,118,74,,,75.0,,,,,,Tlatlauquitepec,,,
PUE-000043,CAGS870310MPLSTFA9,Sofia,Castro,Gutiérrez,1987-03-10,39,Femenino,1.686,61.0,21.5,153,86,,,74.0,,,,,,Zacapoaxtla,,,
PUE-000044,DACF260115HPLÍSRA3,Fernando,Díaz,Castro,2026-01-15,0,Masculino,0.9440000000000001,6.2,7.0,112,72,,,85.0,,,,,,Esperanza,,,
PUE-000045,GESR720524MPLÓÁSA2,Rosa Teresa,Gómez,Sánchez,1972-05-24,54,Femenino,1.521,57.3,24.8,120,73,,,69.0,,,,,,Ajalpan,,,
PUE-000046,CARA741120MPLSYNA5,Ana,Castro,Reyes,1974-11-20,51,Femenino,1.575,59.3,23.9,119,82,,,69.0,,,,,,Santa Clara Ocoyucan,,,
PUE-000047,LEJM540120HPLÓMGA2,Miguel,López,Jiménez,1954-01-20,72,Masculino,1.6540000000000001,73.1,26.7,113,76,,,70.0,,,,,,Huauchinango,,,
PUE-000048,SEHG480601MPLÁRDA7,Guadalupe,Sánchez,Hernández,1948-06-01,78,Femenino,1.6380000000000001,62.3,23.2,121,82,,,75.0,,,,,,Yehualtepec,,,
PUE-000049,PEGJ920214HPLÉRSA6,José Juan,Pérez,García,1992-02-14,34,Masculino,1.735,93.6,31.1,110,74,,,104.0,,,,,,Calpan,,,
PUE-000050,RECL520725MPLYSSA8,Luisa Carmen,Reyes,Castro,1952-07-25,73,Femenino,1.5490000000000002,56.1,23.4,123,73,,,70.0,,,,,,Izúcar de Matamoros,,,
PUE-000051,CUGS560423MPLRRFA1,Sofia,Cruz,García,1956-04-23,70,Femenino,1.57,58.7,23.8,150,97,,,72.0,,,,,,San Pedro Cholula,,,
PUE-000052,FOGC060312MPLLTRA5,Carmen Guadalupe,Flores,Gutiérrez,2006-03-12,20,Femenino,1.534,77.5,32.9,110,80,,,65.0,,,,,,Huaquechula,,,
PUE-000053,MAPC860224MPLRÉRA2,Carmen,Martínez,Pérez,1986-02-24,40,Femenino,1.474,67.4,31.0,115,80,,,69.0,,,,,,Santa Clara Ocoyucan,,,
PUE-000054,GOCR880621HPLNSCA9,Ricardo,González,Castro,1988-06-21,38,Masculino,1.6469999999999998,74.1,27.3,161,99,,,77.0,,,,,,Santa Clara Ocoyucan,,,
PUE-000055,LEPP980611HPLÓÉDA9,Pedro,López,Pérez,1998-06-11,28,Masculino,1.5730000000000002,84.3,34.1,118,80,,,68.0,,,,,,Ajalpan,,,
PUE-000056,MODF890328HPLRÍRA2,Fernando,Morales,Díaz,1989-03-28,37,Masculino,1.625,66.4,25.1,159,86,,,81.0,,,,,,Tlacuilotepec,,,
PUE-000057,GEHF830220HPLÓRRA3,Francisco Jesús,Gómez,Hernández,1983-02-20,43,Masculino,1.768,87.7,28.1,113,84,,,103.0,,,,,,Tepeojuma,,,
PUE-000058,MACM660629MPLRSRA3,Margarita Gabriela,Martínez,Castro,1966-06-29,60,Femenino,1.6130000000000002,56.4,21.7,123,83,,,88.0,,,,,,Chalchicomula de Sesma,,,
PUE-000059,FOGP420610MPLLRTA1,Patricia,Flores,García,1942-06-10,84,Femenino,1.5,76.8,34.1,118,70,,,74.0,,,,,,Ocoyucan,,,
PUE-000060,CUVL770209HPLRÁSA6,Luis,Cruz,Vázquez,1977-02-09,49,Masculino,1.7209999999999999,67.0,22.6,125,84,,,69.0,,,,,,Tepeojuma,,,
PUE-000061,VUCP580701HPLÁSDA3,Pedro,Vázquez,Castro,1958-07-01,68,Masculino,1.704,89.0,30.7,116,85,,,87.0,,,,,,Atlixco,,,
PUE-000062,JICM581227MPLMRRA9,Margarita Sofia,Jiménez,Cruz,1958-12-27,67,Femenino,1.598,61.6,24.1,125,70,,,78.0,,,,,,Ocoyucan,,,
PUE-000063,VUGJ661214MPLÁNNA2,Juana Gabriela,Vázquez,González,1966-12-14,59,Femenino,1.495,68.1,30.5,149,105,,,83.0,,,,,,Santiago Miahuatlán,,,
PUE-000064,REFP691113MPLYLTA9,Patricia Verónica,Reyes,Flores,1969-11-13,56,Femenino,1.5530000000000002,74.2,30.8,118,78,,,71.0,,,,,,Esperanza,,,
PUE-000065,ROGC620929MPLDÓRA3,Carmen,Rodríguez,Gómez,1962-09-29,63,Femenino,1.492,45.4,20.4,156,105,,,83.0,,,,,,Naupan,,,
PUE-000066,MOLM010627HPLRÓNA4,Manuel,Morales,López,2001-06-27,25,Masculino,1.6969999999999998,66.2,23.0,113,70,,,66.0,,,,,,Amozoc,,,
PUE-000067,VUGL751217MPLÁNTA7,Leticia Juana,Vázquez,González,1975-12-17,50,Femenino,1.6159999999999999,70.3,26.9,115,71,,,67.0,,,,,,Cuetzalan del Progreso,,,
PUE-000068,RAMR630120MPLMRSA6,Rosa Luisa,Ramírez,Martínez,1963-01-20,63,Femenino,1.611,66.2,25.5,118,79,,,100.0,,,,,,Tepeojuma,,,
PUE-000069,GOMM340327MPLNRRA1,Margarita Gabriela,González,Martínez,1934-03-27,92,Femenino,1.611,77.1,29.7,123,82,,,72.0,,,,,,Ocoyucan,,,
PUE-000070,GOMM890908HPLNRNA6,Manuel Jesús,González,Morales,1989-09-08,36,Masculino,1.59,60.1,23.8,110,79,,,72.0,,,,,,Aljojuca,,,
PUE-000071,SEFJ840420HPLÁLSA3,Jesús,Sánchez,Flores,1984-04-20,42,Masculino,1.709,67.9,23.2,143,96,,,71.0,,,,,,Santiago Miahuatlán,,,
PUE-000072,CAGM840918MPLSRRA1,María Luisa,Castro,García,1984-09-18,41,Femenino,1.6030000000000002,71.5,27.8,148,90,,,72.0,,,,,,Cuautlancingo,,,
PUE-000073,GAMC260219HPLRRRA6,Carlos Luis,García,Morales,2026-02-19,0,Masculino,0.9620000000000001,33.8,36.5,116,78,,,97.0,,,,,,Chalchicomula de Sesma,,,
PUE-000074,MOHL601223MPLRRSA5,Luisa,Morales,Hernández,1960-12-23,65,Femenino,1.545,65.4,27.4,116,73,,,96.0,,,,,,Naupan,,,
PUE-000075,GEPE410129MPLÓÉLA5,Elena Luisa,Gómez,Pérez,1941-01-29,85,Femenino,1.484,64.1,29.1,164,93,,,76.0,,,,,,Tlachichuca,,,
